bookings_id,name,thumbnail,subcategory,city,longitude,latitude,address,district,price,currency_code,rating,popularity,detail_url
243949,Haneda Excel Hotel Tokyu,https://cf.bstatic.com/xdata/images/hotel/square60/13211207.jpg?k=3f93b038c90994c7a938751e8ecd99f9ce8d8b8a87a88058ff722572690eca87&o=,Hotel,Tokyo,139.786927700043,35.5530164246127,Ota-ku Haneda Airport 3-4-2,Ota Ward,15770.0,JPY,8.3,1954.0,https://www.booking.com/hotel/jp/haneda-excel-tokyu.html
2931719,Mitsui Garden Hotel Otemachi,https://cf.bstatic.com/xdata/images/hotel/square60/148360157.jpg?k=6cffebf446c8018e0429d0564b8f2f8af795663f589e841bc3777ff4d14944f2&o=,Hotel,Tokyo,139.766969,35.689273,Chiyoda-ku Uchikanda 2-1-2,Chiyoda,7186.75,JPY,8.6,1698.0,https://www.booking.com/hotel/jp/mitsui-garden-otemachi.html
5896459,Minn上野入谷,https://cf.bstatic.com/xdata/images/hotel/square60/295170514.jpg?k=a860c6032875cadd4fd8cfc238a3cb2ac09fe2698522de2ff273de659e0b19d0&o=,Aparthotel,Tokyo,139.78735382618,35.7220815950673,Taito-ku Iriya 2-34-5,Taito,11400.0,JPY,8.7,247.0,https://www.booking.com/hotel/jp/iriya.html
3262062,Mitsui Garden Hotel Nihonbashi Premier,https://cf.bstatic.com/xdata/images/hotel/square60/160487812.jpg?k=ce2cd6105b49ca483e8f6ad6fb6877e26fd358da0cb9b2e12e94a51731ab2f39&o=,Hotel,Tokyo,139.773194160713,35.6884289978498,"Chuo-ku, Nihonbashi Muromachi 3-4-4",Chuo Ward,15570.5,JPY,8.9,2138.0,https://www.booking.com/hotel/jp/mitsui-garden-nihonbashi-premier-tokyo.html
255736,Hotel Trusty Tokyo Bayside,https://cf.bstatic.com/xdata/images/hotel/square60/242297319.jpg?k=200145908731e66ef09e34133db4a945bddc155a0321e3d3452001b46d5a01a8&o=,Hotel,Tokyo,139.787238836288,35.6289117923788,Koto-ku Ariake  3-1-15 ,Koto Ward,9028.8,JPY,8.0,1226.0,https://www.booking.com/hotel/jp/trusty-tokyo-bay-side.html
296923,Toshi Center Hotel,https://cf.bstatic.com/xdata/images/hotel/square60/248403353.jpg?k=8efbd045ea2a779761ec33ffc08b6dff0c51c8f84a2ac3c6662adfc18a903054&o=,Hotel,Tokyo,139.738543331623,35.6811630320415,Chiyoda-ku Hirakawacho  2-4-1 ,Chiyoda,7695.0,JPY,8.3,1605.0,https://www.booking.com/hotel/jp/toshi-center.html
277654,Shinagawa Prince Hotel,https://cf.bstatic.com/xdata/images/hotel/square60/159508502.jpg?k=939b095fad0b7ed897471683e7e416c79a8d5c0a7dd7618a140e58fc1b49652d&o=,Hotel,Tokyo,139.736394882202,35.627956894977,"Minato-ku, Takanawa 4-10-30",Minato,13308.93,JPY,8.0,7976.0,https://www.booking.com/hotel/jp/shinagawa-prince.html
5146857,remm plus Ginza,https://cf.bstatic.com/xdata/images/hotel/square60/243472697.jpg?k=2c98a2fcd935d207d50d58d7d1bf18153e2afcbae01c8d3d92f4a5404541e5f6&o=,Hotel,Tokyo,139.762289122337,35.6673787540766,Chuo-ku Ginza 8,Chuo Ward,10180.18,JPY,8.5,169.0,https://www.booking.com/hotel/jp/remm-plus-ginza.html
277959,Hotel JAL City Haneda Tokyo,https://cf.bstatic.com/xdata/images/hotel/square60/248127765.jpg?k=ff9a8d8f691b3dad9a76b7568ef2c9ec43ea1a81d8de9c77e36430637b912f23&o=,Hotel,Tokyo,139.748159050941,35.5516198135269,"Ota-ku, Asahi-cho, Haneda 4-11",Ota Ward,10602.0,JPY,8.1,2299.0,https://www.booking.com/hotel/jp/jal-city-haneda-tokyo.html
419472,HOTEL MYSTAYS PREMIER Omori,https://cf.bstatic.com/xdata/images/hotel/square60/40739640.jpg?k=260d96fab2b1c1450787130e94859405788adf53e7cef915acd1877e05377c4c&o=,Hotel,Tokyo,139.73253518343,35.5905870374424,Shinagawa-ku Minami-Oi 6-19-3,Shinagawa Ward,5490.0,JPY,8.2,2566.0,https://www.booking.com/hotel/jp/art-hotels-omori.html
716675,Tokyo Dome Hotel,https://cf.bstatic.com/xdata/images/hotel/square60/101403829.jpg?k=a138f6ca8c2e406d717cc58448a393dbbc4e65db4354dfdb91206d5ef8069d16&o=,Hotel,Tokyo,139.753225305557,35.7033420252634,"Bunkyo-ku, Koraku 1-3-61",Bunkyo,14240.0,JPY,8.6,707.0,https://www.booking.com/hotel/jp/tokyo-dome-hotel.html
2769223,Candeo Hotels Tokyo Shimbashi,https://cf.bstatic.com/xdata/images/hotel/square60/127694170.jpg?k=dc178bba374a1bd847c3fdcf06b084189c5fd5c3881273f74b7177535eebac74&o=,Hotel,Tokyo,139.755137264702,35.6658429953017,Minatoku Shinbashi 3-6-8,Minato,9912.87,JPY,8.3,825.0,https://www.booking.com/hotel/jp/candeo-hotels-tokyo-shimbashi.html
281664,Hotel Monterey Hanzomon,https://cf.bstatic.com/xdata/images/hotel/square60/33872700.jpg?k=184b8750fe5d813cacc6fecc38d6d325c6915c836396195d90389299586ea547&o=,Hotel,Tokyo,139.741952419281,35.6866901827482,Chiyoda-ku Ichiban-cho  23-1 ,Chiyoda,9310.0,JPY,8.6,1890.0,https://www.booking.com/hotel/jp/monterey-hanzomon.html
5792034,Agora Tokyo Ginza,https://cf.bstatic.com/xdata/images/hotel/square60/297297790.jpg?k=c84a3b22d2fa0f4d3b504f5f8a841d09a91a91c7befcfbd977202ef749014e78&o=,Hotel,Tokyo,139.767125596573,35.6684526871179,Chuo-ku Ginza 5-14-7,Chuo Ward,8208.0,JPY,8.7,1310.0,https://www.booking.com/hotel/jp/agora-ginza.html
677898,The Gate Hotel Asakusa Kaminarimon by Hulic,https://cf.bstatic.com/xdata/images/hotel/square60/20395953.jpg?k=94ce1ff46527284e28ce829e46e518e116d925cd4f5e49e427b5fa091695be8a&o=,Hotel,Tokyo,139.79534715414,35.7109368104682,"Taito-ku, Kaminarimon 2-16-11",Taito,10450.0,JPY,8.9,1031.0,https://www.booking.com/hotel/jp/the-gate-asakusa-kaminarimon-by-hulic.html
